Country Name,Lat,Lon
ar,-34.58333333,-58.666667
au,-35.26666667,149.133333
br,-15.78333333,-47.916667
ca,55,-120
cl,-33.45,-70.666667
co,4.6,-74.083333
cr,9.933333333,-84.083333
do,18.46666667,-69.9
fi,60.16666667,24.933333
de,52.51666667,13.4
is,64.15,-21.95
it,41.9,12.483333
mx,19.43333333,-99.133333
nz,-41.3,174.783333
no,59.91666667,10.75
pe,-12.05,-77.05
ph,14.6,120.966667
pt,38.71666667,-9.133333
sg,1.283333333,103.85
tw,25.03333333,121.516667
tr,40.93333333,28.866667
gb,51.5,-0.083333
us,38.88333,-100
